"Directory","Language","Size","Status","Path"
"src/locales","ar","44740","Exists","e:\Projekt\EduFlex\frontend\src\locales\ar\translation.json"
"src/locales","da","35518","Exists","e:\Projekt\EduFlex\frontend\src\locales\da\translation.json"
"src/locales","de","37220","Exists","e:\Projekt\EduFlex\frontend\src\locales\de\translation.json"
"src/locales","en","34740","Exists","e:\Projekt\EduFlex\frontend\src\locales\en\translation.json"
"src/locales","es","37733","Exists","e:\Projekt\EduFlex\frontend\src\locales\es\translation.json"
"src/locales","fi","37304","Exists","e:\Projekt\EduFlex\frontend\src\locales\fi\translation.json"
"src/locales","fr","38580","Exists","e:\Projekt\EduFlex\frontend\src\locales\fr\translation.json"
"src/locales","no","35278","Exists","e:\Projekt\EduFlex\frontend\src\locales\no\translation.json"
"src/locales","sv","34026","Exists","e:\Projekt\EduFlex\frontend\src\locales\sv\translation.json"
"src/features/calendar/locales","ar","449","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\ar.json"
"src/features/calendar/locales","da","304","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\da.json"
"src/features/calendar/locales","de","308","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\de.json"
"src/features/calendar/locales","en","299","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\en.json"
"src/features/calendar/locales","es","332","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\es.json"
"src/features/calendar/locales","fi","324","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\fi.json"
"src/features/calendar/locales","fr","313","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\fr.json"
"src/features/calendar/locales","no","308","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\no.json"
"src/features/calendar/locales","sv","320","Exists","e:\Projekt\EduFlex\frontend\src\features\calendar\locales\sv.json"
"src/features/catalog/locales","ar","456","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\ar.json"
"src/features/catalog/locales","da","347","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\da.json"
"src/features/catalog/locales","de","366","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\de.json"
"src/features/catalog/locales","en","330","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\en.json"
"src/features/catalog/locales","es","378","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\es.json"
"src/features/catalog/locales","fi","356","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\fi.json"
"src/features/catalog/locales","fr","386","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\fr.json"
"src/features/catalog/locales","no","331","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\no.json"
"src/features/catalog/locales","sv","344","Exists","e:\Projekt\EduFlex\frontend\src\features\catalog\locales\sv.json"
"src/features/documents/locales","ar","360","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\ar.json"
"src/features/documents/locales","da","270","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\da.json"
"src/features/documents/locales","de","296","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\de.json"
"src/features/documents/locales","en","259","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\en.json"
"src/features/documents/locales","es","305","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\es.json"
"src/features/documents/locales","fi","300","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\fi.json"
"src/features/documents/locales","fr","326","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\fr.json"
"src/features/documents/locales","no","269","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\no.json"
"src/features/documents/locales","sv","276","Exists","e:\Projekt\EduFlex\frontend\src\features\documents\locales\sv.json"
"src/features/profile/locales","ar","1417","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\ar.json"
"src/features/profile/locales","da","1053","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\da.json"
"src/features/profile/locales","de","1129","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\de.json"
"src/features/profile/locales","en","1025","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\en.json"
"src/features/profile/locales","es","1101","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\es.json"
"src/features/profile/locales","fi","1065","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\fi.json"
"src/features/profile/locales","fr","1205","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\fr.json"
"src/features/profile/locales","no","1027","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\no.json"
"src/features/profile/locales","sv","1066","Exists","e:\Projekt\EduFlex\frontend\src\features\profile\locales\sv.json"
"src/modules/assignments/locales","ar","745","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\ar.json"
"src/modules/assignments/locales","da","579","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\da.json"
"src/modules/assignments/locales","de","609","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\de.json"
"src/modules/assignments/locales","en","592","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\en.json"
"src/modules/assignments/locales","es","594","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\es.json"
"src/modules/assignments/locales","fi","617","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\fi.json"
"src/modules/assignments/locales","fr","628","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\fr.json"
"src/modules/assignments/locales","no","587","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\no.json"
"src/modules/assignments/locales","sv","611","Exists","e:\Projekt\EduFlex\frontend\src\modules\assignments\locales\sv.json"
"src/modules/chat/locales","ar","186","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\ar.json"
"src/modules/chat/locales","da","152","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\da.json"
"src/modules/chat/locales","de","152","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\de.json"
"src/modules/chat/locales","en","148","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\en.json"
"src/modules/chat/locales","es","153","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\es.json"
"src/modules/chat/locales","fi","151","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\fi.json"
"src/modules/chat/locales","fr","155","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\fr.json"
"src/modules/chat/locales","no","151","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\no.json"
"src/modules/chat/locales","sv","156","Exists","e:\Projekt\EduFlex\frontend\src\modules\chat\locales\sv.json"
"src/modules/forum/locales","ar","881","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\ar.json"
"src/modules/forum/locales","da","739","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\da.json"
"src/modules/forum/locales","de","798","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\de.json"
"src/modules/forum/locales","en","749","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\en.json"
"src/modules/forum/locales","es","793","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\es.json"
"src/modules/forum/locales","fi","799","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\fi.json"
"src/modules/forum/locales","fr","820","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\fr.json"
"src/modules/forum/locales","no","742","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\no.json"
"src/modules/forum/locales","sv","773","Exists","e:\Projekt\EduFlex\frontend\src\modules\forum\locales\sv.json"
"src/modules/gamification/locales","ar","503","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\ar.json"
"src/modules/gamification/locales","da","434","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\da.json"
"src/modules/gamification/locales","de","433","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\de.json"
"src/modules/gamification/locales","en","396","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\en.json"
"src/modules/gamification/locales","es","432","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\es.json"
"src/modules/gamification/locales","fi","438","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\fi.json"
"src/modules/gamification/locales","fr","444","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\fr.json"
"src/modules/gamification/locales","no","425","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\no.json"
"src/modules/gamification/locales","sv","437","Exists","e:\Projekt\EduFlex\frontend\src\modules\gamification\locales\sv.json"
"src/modules/quiz-runner/locales","ar","1481","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\ar.json"
"src/modules/quiz-runner/locales","da","1157","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\da.json"
"src/modules/quiz-runner/locales","de","1205","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\de.json"
"src/modules/quiz-runner/locales","en","1094","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\en.json"
"src/modules/quiz-runner/locales","es","1274","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\es.json"
"src/modules/quiz-runner/locales","fi","1199","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\fi.json"
"src/modules/quiz-runner/locales","fr","1295","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\fr.json"
"src/modules/quiz-runner/locales","no","1181","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\no.json"
"src/modules/quiz-runner/locales","sv","1179","Exists","e:\Projekt\EduFlex\frontend\src\modules\quiz-runner\locales\sv.json"
